DateTime,Date,Time,Hour,Minute,DayOfWeek,DayOfMonth,BarInSession,Open,High,Low,Close,Volume,BarDirection,BodySize,UpperWick,LowerWick,BarRange,VWAP,VWAP_SD1_Upper,VWAP_SD1_Lower,VWAP_SD2_Upper,VWAP_SD2_Lower,VWAP_SD3_Upper,VWAP_SD3_Lower,VWAP_ZScore,CumDelta_Close,CumDelta_High,CumDelta_Low,ATR_14,ATR_5,ADX_14,RSI_14,EMA_9,EMA_21,SMA_50,SMA_200,SessionHigh,SessionLow,SessionOpen,SessionRange,SessionPosition,DistFromHigh,DistFromLow,ConsecUpBars,ConsecDownBars,IsNewSession,AsiaHigh,AsiaLow,AsiaRange,AsiaClose,LondonHigh,LondonLow,LondonRange,LondonClose,OR_High,OR_Low,OR_Complete,OR_Direction,PrevDayHigh,PrevDayLow,PrevDayClose,GapFromPrevClose,Close_5m,Close_15m,Close_60m,Close_Daily,High_5m,IsEndOfMonth,IsQuarterEnd,DailyVolume
2006-01-05 11:28:00,2006-01-05,11:28,11,28,4,5,1,4803.00,4803.00,4803.00,4803.00,36,0,0.00,0.00,0.00,0.00,4803.00,4803.00,4803.00,4803.00,4803.00,4803.00,4803.00,0.0000,0,0,0,0.79,0.67,21.34,47.67,4803.38,4803.37,4803.02,4799.82,4803.00,0.00,0.00,4803.00,1.0000,0.00,4803.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4804.00,4803.00,4804.00,0.00,4804.50,0,0,36
2006-01-05 11:29:00,2006-01-05,11:29,11,29,4,5,2,4803.00,4803.00,4803.00,4803.00,145,0,0.00,0.00,0.00,0.00,4803.00,4803.00,4803.00,4803.00,4803.00,4803.00,4803.00,0.0000,0,0,0,0.74,0.53,20.91,47.67,4803.30,4803.34,4803.02,4799.85,4803.00,0.00,0.00,4803.00,1.0000,0.00,4803.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4804.00,4803.00,4804.00,0.00,4804.50,0,0,181
2006-01-05 11:30:00,2006-01-05,11:30,11,30,4,5,3,4803.00,4803.00,4802.50,4802.50,85,-1,0.50,0.00,0.00,0.50,4802.89,4803.05,4802.74,4803.20,4802.58,4803.36,4802.43,-2.5315,0,0,0,0.72,0.53,21.21,43.90,4803.14,4803.26,4803.04,4799.88,4803.00,0.00,0.00,4803.00,0.9999,0.50,4802.50,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.50,4802.50,4804.00,0.00,4804.00,0,0,266
2006-01-05 11:31:00,2006-01-05,11:31,11,31,4,5,4,4803.00,4803.00,4803.00,4803.00,72,0,0.00,0.00,0.00,0.00,4802.92,4803.06,4802.77,4803.21,4802.63,4803.35,4802.48,0.5796,0,0,0,0.70,0.52,21.49,48.30,4803.11,4803.24,4803.05,4799.92,4803.00,0.00,0.00,4803.00,1.0000,0.00,4803.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.50,4802.50,4804.00,0.00,4804.00,0,0,338
2006-01-05 11:32:00,2006-01-05,11:32,11,32,4,5,5,4803.00,4803.00,4802.50,4803.00,169,0,0.00,0.00,0.50,0.50,4802.89,4803.01,4802.76,4803.14,4802.64,4803.26,4802.52,0.8960,0,0,0,0.69,0.52,22.38,48.30,4803.09,4803.22,4803.08,4799.95,4803.00,0.00,0.00,4803.00,1.0000,0.00,4803.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.50,4802.50,4804.00,0.00,4804.00,0,0,507
2006-01-05 11:33:00,2006-01-05,11:33,11,33,4,5,6,4803.00,4804.00,4803.00,4803.50,182,1,0.50,0.50,0.00,1.00,4803.05,4803.34,4802.76,4803.63,4802.47,4803.92,4802.18,1.5519,0,0,0,0.71,0.61,21.27,52.61,4803.17,4803.24,4803.12,4799.99,4804.00,0.00,0.00,4804.00,0.9999,0.50,4803.50,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.50,4802.50,4804.00,0.00,4804.00,0,0,689
2006-01-05 11:34:00,2006-01-05,11:34,11,34,4,5,7,4803.50,4804.00,4803.50,4804.00,241,1,0.50,0.00,0.00,0.50,4803.25,4803.68,4802.83,4804.10,4802.40,4804.53,4801.98,1.7603,0,0,0,0.70,0.59,20.23,56.51,4803.34,4803.31,4803.17,4800.02,4804.00,0.00,0.00,4804.00,1.0000,0.00,4804.00,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.50,4802.50,4804.00,0.00,4804.00,0,0,930
2006-01-05 11:35:00,2006-01-05,11:35,11,35,4,5,8,4803.50,4804.00,4802.50,4802.50,468,-1,1.00,0.50,0.00,1.50,4803.17,4803.53,4802.80,4803.90,4802.44,4804.27,4802.07,-1.8255,0,0,0,0.75,0.77,20.54,44.63,4803.17,4803.24,4803.19,4800.05,4804.00,0.00,0.00,4804.00,0.9997,1.50,4802.50,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.50,4802.50,4804.00,0.00,4804.00,0,0,1398
2006-01-05 11:36:00,2006-01-05,11:36,11,36,4,5,9,4803.00,4803.00,4802.00,4802.00,346,-1,1.00,0.00,0.00,1.00,4803.00,4803.47,4802.54,4803.94,4802.07,4804.40,4801.60,-2.1459,0,0,0,0.77,0.82,21.33,41.50,4802.94,4803.13,4803.19,4800.08,4804.00,0.00,0.00,4804.00,0.9996,2.00,4802.00,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.50,4802.50,4804.00,0.00,4804.00,0,0,1744
2006-01-05 11:37:00,2006-01-05,11:37,11,37,4,5,10,4802.50,4803.00,4802.50,4802.50,295,0,0.00,0.50,0.00,0.50,4802.95,4803.40,4802.51,4803.85,4802.06,4804.30,4801.61,-1.0135,0,0,0,0.79,0.85,22.06,45.61,4802.85,4803.07,4803.20,4800.11,4804.00,0.00,0.00,4804.00,0.9997,1.50,4802.50,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,0.00,4802.50,4802.50,4804.00,0.00,4804.00,0,0,2039
