DateTime,Date,Time,Hour,Minute,DayOfWeek,DayOfMonth,BarInSession,Open,High,Low,Close,Volume,BarDirection,BodySize,UpperWick,LowerWick,BarRange,VWAP,VWAP_SD1_Upper,VWAP_SD1_Lower,VWAP_SD2_Upper,VWAP_SD2_Lower,VWAP_SD3_Upper,VWAP_SD3_Lower,VWAP_ZScore,CumDelta_Close,CumDelta_High,CumDelta_Low,ATR_14,ATR_5,ADX_14,RSI_14,EMA_9,EMA_21,SMA_50,SMA_200,SessionHigh,SessionLow,SessionOpen,SessionRange,SessionPosition,DistFromHigh,DistFromLow,ConsecUpBars,ConsecDownBars,IsNewSession,AsiaHigh,AsiaLow,AsiaRange,AsiaClose,LondonHigh,LondonLow,LondonRange,LondonClose,OR_High,OR_Low,OR_Complete,OR_Direction,PrevDayHigh,PrevDayLow,PrevDayClose,PrevDayRange,GapFromPrevClose,Close_5m,Close_15m,Close_60m,Close_Daily,High_5m,IsEndOfMonth,IsQuarterEnd,DailyVolume,DistSwingHigh,DistSwingLow,Cam_CP,Cam_R3,Cam_R4,Cam_S3,Cam_S4,Dist_R3_Ticks,Dist_R4_Ticks,Dist_S3_Ticks,Dist_S4_Ticks,Dist_CP_Ticks
2020-01-01 20:21:00,2020-01-01,20:21,20,21,3,1,1,11588.75,11589.00,11588.50,11588.75,33,0,0.00,0.25,0.25,0.50,11588.75,11588.75,11588.75,11588.75,11588.75,11588.75,11588.75,0.0000,0,0,0,1.13,1.01,25.24,49.33,11589.45,11589.18,11587.02,11585.41,11589.00,11588.50,11588.75,0.50,0.5000,0.25,0.25,0,0,0,11589.00,11588.50,0.50,11588.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11588.75,11590.25,11587.75,0.00,11591.50,0,0,33,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:22:00,2020-01-01,20:22,20,22,3,1,2,11588.75,11590.00,11588.75,11590.00,31,1,1.25,0.00,0.00,1.25,11589.15,11589.57,11588.74,11589.99,11588.32,11590.40,11587.90,2.0322,0,0,0,1.13,1.06,24.97,56.46,11589.56,11589.25,11587.15,11585.48,11590.00,11588.50,11588.75,1.50,1.0000,0.00,1.50,1,0,0,11590.00,11588.50,1.50,11590.00,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11588.75,11590.25,11587.75,0.00,11591.50,0,0,64,1.50,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:23:00,2020-01-01,20:23,20,23,3,1,3,11590.25,11590.25,11589.50,11589.50,28,-1,0.75,0.00,0.00,0.75,11589.34,11589.78,11588.89,11590.22,11588.45,11590.66,11588.01,0.3724,0,0,0,1.11,1.00,24.92,53.23,11589.55,11589.27,11587.26,11585.54,11590.25,11588.50,11588.75,1.75,0.5714,0.75,1.00,0,1,0,11590.25,11588.50,1.75,11589.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11588.75,11590.25,11587.75,0.00,11591.50,0,0,92,2.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:24:00,2020-01-01,20:24,20,24,3,1,4,11590.00,11590.00,11588.75,11590.00,32,0,0.00,0.00,1.25,1.25,11589.40,11589.80,11589.00,11590.19,11588.61,11590.59,11588.21,1.5154,0,0,0,1.12,1.05,23.95,55.94,11589.64,11589.34,11587.41,11585.60,11590.25,11588.50,11588.75,1.75,0.8571,0.25,1.50,0,1,0,11590.25,11588.50,1.75,11590.00,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11588.75,11590.25,11587.75,0.00,11591.50,0,0,124,1.50,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:25:00,2020-01-01,20:25,20,25,3,1,5,11589.75,11590.25,11589.75,11590.25,22,1,0.50,0.00,0.00,0.50,11589.50,11589.94,11589.06,11590.38,11588.62,11590.82,11588.18,1.7003,0,0,0,1.07,0.94,23.28,57.28,11589.76,11589.42,11587.57,11585.66,11590.25,11588.50,11588.75,1.75,1.0000,0.00,1.75,1,0,0,11590.25,11588.50,1.75,11590.25,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.25,11590.25,11587.75,0.00,11590.25,0,0,146,1.25,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:26:00,2020-01-01,20:26,20,26,3,1,6,11590.25,11590.25,11589.75,11589.75,27,-1,0.50,0.00,0.00,0.50,11589.57,11590.00,11589.14,11590.43,11588.70,11590.86,11588.27,0.4246,0,0,0,1.03,0.85,22.65,53.77,11589.76,11589.45,11587.68,11585.73,11590.25,11588.50,11588.75,1.75,0.7143,0.50,1.25,0,1,0,11590.25,11588.50,1.75,11589.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.25,11590.25,11587.75,0.00,11590.25,0,0,173,1.75,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:27:00,2020-01-01,20:27,20,27,3,1,7,11590.00,11590.50,11589.75,11590.50,36,1,0.50,0.00,0.25,0.75,11589.68,11590.15,11589.22,11590.62,11588.75,11591.09,11588.28,1.7371,0,0,0,1.01,0.83,22.32,57.93,11589.91,11589.55,11587.78,11585.79,11590.50,11588.50,11588.75,2.00,1.0000,0.00,2.00,1,0,0,11590.50,11588.50,2.00,11590.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.25,11590.25,11587.75,0.00,11590.25,0,0,209,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:28:00,2020-01-01,20:28,20,28,3,1,8,11590.50,11591.00,11589.75,11590.75,46,1,0.25,0.25,0.75,1.25,11589.83,11590.36,11589.30,11590.89,11588.78,11591.42,11588.25,1.7389,0,0,0,1.03,0.91,22.47,59.25,11590.08,11589.66,11587.88,11585.86,11591.00,11588.50,11588.75,2.50,0.9000,0.25,2.25,2,0,0,11591.00,11588.50,2.50,11590.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.25,11590.25,11587.75,0.00,11590.25,0,0,255,0.75,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:29:00,2020-01-01,20:29,20,29,3,1,9,11590.75,11590.75,11590.75,11590.75,16,0,0.00,0.00,0.00,0.00,11589.89,11590.44,11589.33,11591.00,11588.77,11591.55,11588.22,1.5538,0,0,0,0.96,0.73,22.62,59.25,11590.21,11589.76,11588.02,11585.92,11591.00,11588.50,11588.75,2.50,0.9000,0.25,2.25,2,0,0,11591.00,11588.50,2.50,11590.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.25,11590.25,11587.75,0.00,11590.25,0,0,271,0.75,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:30:00,2020-01-01,20:30,20,30,3,1,10,11591.00,11591.00,11590.25,11590.50,27,-1,0.50,0.00,0.25,0.75,11589.95,11590.52,11589.38,11591.08,11588.82,11591.65,11588.25,0.9718,0,0,0,0.94,0.74,22.00,57.17,11590.27,11589.82,11588.12,11585.95,11591.00,11588.50,11588.75,2.50,0.8000,0.50,2.00,0,1,0,11591.00,11588.50,2.50,11590.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.50,11590.50,11587.75,0.00,11591.00,0,0,298,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
